"from","to","strength","direction"
"Day_of_Life","Klebsiella.quasipneumoniae.PTR",0,0
"Day_of_Life","Klebsiella.michiganensis.abundance",0,0
"Day_of_Life","Klebsiella.michiganensis.PTR",0,0
"Day_of_Life","Clostridium.perfringens.abundance",0,0
"Day_of_Life","Clostridium.perfringens.PTR",0,0
"Day_of_Life","Klebsiella.oxytoca.abundance",0,0
"Day_of_Life","Klebsiella.oxytoca.PTR",0,0
"Day_of_Life","Bacteroides.fragilis.abundance",0,0
"Day_of_Life","Bacteroides.fragilis.PTR",0,0
"Day_of_Life","Enterobacter.hormaechei.abundance",0,0
"Day_of_Life","Enterobacter.hormaechei.PTR",0,0
"Day_of_Life","Enterobacter.sp..HK169.abundance",0.0666666666666667,0.333333333333333
"Day_of_Life","Enterobacter.sp..HK169.PTR",0,0
"Day_of_Life","Enterobacter.asburiae.abundance",0,0
"Day_of_Life","Enterobacter.asburiae.PTR",0,0
"Day_of_Life","Klebsiella.sp..M5al.abundance",0,0
"Day_of_Life","Klebsiella.sp..M5al.PTR",0,0
"Day_of_Life","Veillonella.parvula.abundance",0,0
"Day_of_Life","Veillonella.parvula.PTR",0,0
"Day_of_Life","Enterobacter.sp..DKU_NT_01.abundance",0,0
"Day_of_Life","Enterobacter.sp..DKU_NT_01.PTR",0,0
"Day_of_Life","Enterobacter.sp..CRENT.193.abundance",0,0
"Day_of_Life","Enterobacter.sp..CRENT.193.PTR",0,0
"Day_of_Life","Enterobacteriaceae.bacterium.S05.abundance",0,0
"Day_of_Life","Enterobacteriaceae.bacterium.S05.PTR",0,0
"Day_of_Life","Citrobacter.abundance",0,0
"Day_of_Life","Citrobacter.PTR",0,0
"Day_of_Life","ARO.3000319mphC",0.0583333333333333,0.25
"Day_of_Life","ARO.3003551emeA",0,0
"Day_of_Life","ARO.3003046qacA",0.35,0.833333333333333
"Day_of_Life","ARO.3001057TEM.198",0,0
"Day_of_Life","ARO.3004588Klebsiella",0,0
"Day_of_Life","ARO.3000804MexF",0.208333333333333,0.666666666666667
"Day_of_Life","ARO.3002985arnA",0.0333333333333333,0.125
"Day_of_Life","ARO.3004075MuxC",0.0416666666666667,0.208333333333333
"Day_of_Life","ARO.3004074MuxB",0.116666666666667,0.416666666666667
"Day_of_Life","ARO.3002865dfrC",0,0
"Day_of_Life","ARO.3002660APH.6..Id",0,0
"Day_of_Life","ARO.3003052smeB",0,0
"Day_of_Life","ARO.3000936TEM.70",0,0
"Day_of_Life","ARO.3000616mel",0,0
"Day_of_Life","ARO.3000375ErmB",0,0
"Day_of_Life","ARO.3002639APH.3....Ib",0,0
"Day_of_Life","ARO.3002819msrC",0,0
"Day_of_Life","ARO.3000967TEM.104",0,0
"Day_of_Life","ARO.3003047qacB",0.00833333333333333,0.0416666666666667
"Day_of_Life","ARO.3002875dfrE",0.0166666666666667,0.0833333333333333
"Day_of_Life","ARO.3004122Klebsiella",0,0
"Day_of_Life","ARO.3000194tetW",0,0
"Day_of_Life","ARO.3003056smeE",0,0
"Day_of_Life","ARO.3004041Klebsiella",0,0
"Day_of_Life","ARO.3000900TEM.30",0,0
"Day_of_Life","ARO.3000999TEM.135",0,0
"Day_of_Life","ARO.3000873TEM.1",0,0
"Day_of_Life","ARO.3001015TEM.148",0,0
"Day_of_Life","ARO.3000186tetM",0,0
"Day_of_Life","ARO.3000501Nocardia",0,0
"Day_of_Life","ARO.3004580Klebsiella",0,0
"Day_of_Life","ARO.3004583Klebsiella",0,0
"Day_of_Life","ARO.3000263marA",0,0
"Day_of_Life","ARO.3000828baeR",0,0
"Day_of_Life","ARO.3000491acrD",0,0
"Day_of_Life","ARO.3000508gadX",0,0
"Day_of_Life","ARO.3000795mdtE",0,0
"Day_of_Life","ARO.3000518CRP",0,0
"Day_of_Life","ARO.3003550mdtP",0,0
"Day_of_Life","ARO.3003549mdtO",0,0
"Day_of_Life","ARO.3003548mdtN",0,0
"Day_of_Life","ARO.3000829baeS",0,0
"Day_of_Life","ARO.3000027emrA",0,0
"Day_of_Life","ARO.3003576eptA",0,0
"Day_of_Life","ARO.3004612Escherichia",0,0
"Day_of_Life","ARO.3004597Klebsiella",0,0
"Day_of_Life","ARO.3000412sul2",0,0
"Day_of_Life","ARO.3000300lsaA",0,0
"Day_of_Life","ARO.3000984TEM.122",0,0
"Day_of_Life","ARO.3000990TEM.128",0,0
"Day_of_Life","ARO.3000391norA",0,0
"Day_of_Life","ARO.3000988TEM.126",0,0
"Day_of_Life","ARO.3000026mepA",0,0
"Day_of_Life","ARO.3002628aad.6.",0,0
"Day_of_Life","ARO.3000565tet.38.",0,0
"Day_of_Life","ARO.3001004TEM.141",0,0
"Day_of_Life","ARO.3000832evgA",0,0
"Day_of_Life","ARO.3000676H.NS",0,0
"Day_of_Life","ARO.3000830cpxA",0,0
"Day_of_Life","ARO.3000815mgrA",0,0
"Day_of_Life","ARO.3002641APH.3...Ia",0,0
"Day_of_Life","ARO.3004572Staphylococcys",0,0
"Day_of_Life","ARO.3003773Clostridium",0,0
"Day_of_Life","ARO.3000215mecR1",0,0
"Day_of_Life","ARO.3000621PC1",0,0
"Day_of_Life","ARO.3001329mdtG",0,0
"Day_of_Life","ARO.3003730Bifidobacteria",0,0
"Day_of_Life","ARO.3002647APH.3...IIIa",0.00833333333333333,0.0416666666666667
"Day_of_Life","ARO.3001327mdtK",0,0
"Day_of_Life","ARO.3003838gadW",0,0
"Day_of_Life","ARO.3000254emrY",0,0
"Day_of_Life","ARO.3000206emrK",0,0
"Day_of_Life","ARO.3004667Staphylococcus",0,0
"Day_of_Life","ARO.3000924TEM.55",0,0
"Day_of_Life","ARO.3004042Enterobacter",0.00833333333333333,0.0416666666666667
"Day_of_Life","ARO.3002830vgaALC",0,0
"Day_of_Life","ARO.3001030TEM.164",0,0
"Day_of_Life","ARO.3003922oqxA",0,0
"Day_of_Life","ARO.3003923oqxB",0.0416666666666667,0.208333333333333
"Day_of_Life","ARO.3002804FosA2",0,0
"Day_of_Life","ARO.3001029TEM.163",0,0
"Day_of_Life","ARO.3001032TEM.166",0,0
"Day_of_Life","ARO.3000237tolC",0,0
"Day_of_Life","ARO.3004611Escherichia",0,0
"Day_of_Life","ARO.3003905ANT.4...Ib",0,0
"Day_of_Life","ARO.3000903TEM.33",0,0
"Day_of_Life","ARO.3001041TEM.176",0,0
"Day_of_Life","ARO.3002597AAC.6...Ie.APH.2....Ia",0,0
"Day_of_Life","ARO.3001394TEM.217",0,0
"Day_of_Life","ARO.3003949efrB",0,0
"Day_of_Life","ARO.3000410sul1",0,0
"Day_of_Life","ARO.3001046TEM.186",0,0
"Day_of_Life","ARO.3001328Escherichia",0,0
"Day_of_Life","ARO.3000823ramA",0.05,0.208333333333333
"Day_of_Life","ARO.3001378TEM.201",0,0
"Day_of_Life","ARO.3001837ACT.15",0,0
"Day_of_Life","ARO.3000617mecA",0.00833333333333333,0.0416666666666667
"Day_of_Life","ARO.3000904TEM.34",0,0
"Day_of_Life","ARO.3001383TEM.206",0,0
"Day_of_Life","ARO.3001384TEM.207",0,0
"Day_of_Life","ARO.3001385TEM.208",0,0
"Day_of_Life","ARO.3001386TEM.209",0,0
"Day_of_Life","ARO.3001393TEM.216",0,0
"Day_of_Life","ARO.3001838ACT.17",0,0
"Day_of_Life","ARO.3001839ACT.18",0,0
"Day_of_Life","ARO.3001847ACT.27",0,0
"Day_of_Life","ARO.3001852ACT.32",0.00833333333333333,0.0416666666666667
"Day_of_Life","ARO.3003158TEM.220",0,0
"Day_of_Life","ARO.3001391TEM.214",0,0
"Day_of_Life","ARO.3003209FosA5",0,0
"Day_of_Life","ARO.3004111FosA6",0,0
"Day_of_Life","ARO.3004442tet.W.N.W.",0,0
"Day_of_Life","ARO.3000378MexB",0,0
"Day_of_Life","ARO.3000180tetA.P.",0,0
"Day_of_Life","ARO.3000195tetB.P.",0,0
"Day_of_Life","ARO.3001855ACT.35",0,0
"Day_of_Life","ARO.3000250ErmC",0,0
"Day_of_Life","ARO.3000190tetO",0.00833333333333333,0.0416666666666667
"Day_of_Life","ARO.3000596ErmX",0,0
"Day_of_Life","ARO.3002829vgaA",0,0
"Day_of_Life","ARO.3004290Escherichia",0,0
"Day_of_Life","ARO.3004480Bifidobacterium",0,0
"Day_of_Life","ARO.3003948efrA",0,0
"Day_of_Life","ARO.3000516emrR",0,0
"Day_of_Life","ARO.3003950msbA",0,0
"Day_of_Life","ARO.3003952yojI",0,0
"Day_of_Life","ARO.3002986bacA",0,0
"Day_of_Life","ARO.3004290Escherichia.1",0,0
"Day_of_Life","ARO.3001214mdtM",0,0
"Day_of_Life","ARO.3000216acrB",0,0
"Day_of_Life","ARO.3004043Escherichia",0,0
"Day_of_Life","ARO.3003841kdpE",0,0
"Day_of_Life","ARO.3000792mdtA",0,0
"Day_of_Life","ARO.3000793mdtB",0,0
"Day_of_Life","ARO.3000794mdtC",0,0
"Day_of_Life","ARO.3003578pmrF",0,0
"Day_of_Life","ARO.3000833evgS",0,0
"Day_of_Life","ARO.3000074emrB",0,0
"Day_of_Life","ARO.3000499acrE",0,0
"Day_of_Life","ARO.3000502acrF",0,0
"Day_of_Life","ARO.3000796mdtF",0,0
"Day_of_Life","ARO.3001216mdtH",0,0
"Day_of_Life","ARO.3003577ugd",0,0
"Day_of_Life","ARO.3000656acrS",0,0
"Day_of_Life","ARO.3002897SAT.4",0.0166666666666667,0.0833333333333333
"Day_of_Life","ARO.3000347ErmA",0,0
"Day_of_Life","ARO.3000251msrA",0.0666666666666667,0.291666666666667
"Day_of_Life","ARO.3000521mupA",0.00833333333333333,0.0416666666666667
"Day_of_Life","ARO.3004039Escherichia",0,0
"Day_of_Life","ARO.3000191tetQ",0,0
"PostMenst_Age","Day_of_Life",0,0
"PostMenst_Age","Gestational_Age",0,0
"PostMenst_Age","Birthweight",0,0
"PostMenst_Age","Gentamicin",0,0
"PostMenst_Age","Cefazolin",0,0
"PostMenst_Age","Ampicillin",0,0
"PostMenst_Age","Meropenem",0,0
"PostMenst_Age","Vancomycin",0,0
"PostMenst_Age","Ticarcillin.Clavulanate",0,0
"PostMenst_Age","Total_abx",0,0
"PostMenst_Age","r_Gentamicin",0,0
"PostMenst_Age","r_Meropenem",0,0
"PostMenst_Age","r_Ticarcillin.Clavulanate",0,0
"PostMenst_Age","r_Vancomycin",0,0
"PostMenst_Age","r_Ampicillin",0,0
"PostMenst_Age","r_Cefotaxime",0,0
"PostMenst_Age","r_TOTAL",0,0
"PostMenst_Age","Human_Milk",0,0
"PostMenst_Age","Maternal_Milk",0,0
"PostMenst_Age","Donor_Milk",0,0
"PostMenst_Age","Formula",0,0
"PostMenst_Age","Fortification",0,0
"PostMenst_Age","Vitamin_A",0,0
"PostMenst_Age","Caffeine",0,0
"PostMenst_Age","Iron",0,0
"PostMenst_Age","Furosemide_Lasix",0,0
"PostMenst_Age","m_ampicillin",0,0
"PostMenst_Age","m_ceftriaxone",0,0
"PostMenst_Age","m_azithromycin",0,0
"PostMenst_Age","m_amoxicillin",0,0
"PostMenst_Age","m_cefazolin",0,0
"PostMenst_Age","m_erythromycin",0,0
"PostMenst_Age","m_gentamicin",0,0
"PostMenst_Age","m_penicillin",0,0
"PostMenst_Age","m_vancomycin",0,0
"PostMenst_Age","m_clindamycin",0,0
"PostMenst_Age","m_cefotaxime",0,0
"PostMenst_Age","dur_membrane_rupture",0,0
"PostMenst_Age","CRIB.II.Score",0,0
"PostMenst_Age","Total.Antibiotic.Days",0,0
"PostMenst_Age","Escherichia.coli.abundance",0,0
"PostMenst_Age","Escherichia.coli.PTR",0,0
"PostMenst_Age","Klebsiella.aerogenes.abundance",0,0
"PostMenst_Age","Klebsiella.aerogenes.PTR",0,0
"PostMenst_Age","Staphylococcus.epidermidis.abundance",0,0
"PostMenst_Age","Staphylococcus.epidermidis.PTR",0.0416666666666667,0.125
"PostMenst_Age","Enterococcus.faecium.abundance",0,0
"PostMenst_Age","Enterococcus.faecium.PTR",0,0
"PostMenst_Age","Citrobacter.freundii.abundance",0,0
"PostMenst_Age","Citrobacter.freundii.PTR",0,0
"PostMenst_Age","Klebsiella.pneumoniae.abundance",0,0
"PostMenst_Age","Klebsiella.pneumoniae.PTR",0,0
"PostMenst_Age","Klebsiella.variicola.abundance",0.00833333333333333,0.0416666666666667
"PostMenst_Age","Klebsiella.variicola.PTR",0.0333333333333333,0.166666666666667
"PostMenst_Age","Enterobacter.cloacae.abundance",0,0
"PostMenst_Age","Enterobacter.cloacae.PTR",0,0
"PostMenst_Age","Bifidobacterium.longum.abundance",0,0
"PostMenst_Age","Bifidobacterium.longum.PTR",0,0
"PostMenst_Age","Enterobacter.roggenkampii.abundance",0,0
"PostMenst_Age","Enterobacter.roggenkampii.PTR",0.158333333333333,0.666666666666667
"PostMenst_Age","Enterococcus.faecalis.abundance",0.183333333333333,0.625
"PostMenst_Age","Enterococcus.faecalis.PTR",0,0
"PostMenst_Age","Klebsiella.quasipneumoniae.abundance",0,0
"PostMenst_Age","Klebsiella.quasipneumoniae.PTR",0,0
"PostMenst_Age","Klebsiella.michiganensis.abundance",0,0
"PostMenst_Age","Klebsiella.michiganensis.PTR",0,0
"PostMenst_Age","Clostridium.perfringens.abundance",0,0
"PostMenst_Age","Clostridium.perfringens.PTR",0,0
"PostMenst_Age","Klebsiella.oxytoca.abundance",0,0
"PostMenst_Age","Klebsiella.oxytoca.PTR",0,0
"PostMenst_Age","Bacteroides.fragilis.abundance",0,0
"PostMenst_Age","Bacteroides.fragilis.PTR",0,0
"PostMenst_Age","Enterobacter.hormaechei.abundance",0,0
"PostMenst_Age","Enterobacter.hormaechei.PTR",0,0
"PostMenst_Age","Enterobacter.sp..HK169.abundance",0,0
"PostMenst_Age","Enterobacter.sp..HK169.PTR",0.0416666666666667,0.208333333333333
"PostMenst_Age","Enterobacter.asburiae.abundance",0,0
"PostMenst_Age","Enterobacter.asburiae.PTR",0,0
"PostMenst_Age","Klebsiella.sp..M5al.abundance",0,0
"PostMenst_Age","Klebsiella.sp..M5al.PTR",0,0
"PostMenst_Age","Veillonella.parvula.abundance",0,0
"PostMenst_Age","Veillonella.parvula.PTR",0.0583333333333333,0.25
"PostMenst_Age","Enterobacter.sp..DKU_NT_01.abundance",0,0
"PostMenst_Age","Enterobacter.sp..DKU_NT_01.PTR",0,0
"PostMenst_Age","Enterobacter.sp..CRENT.193.abundance",0,0
"PostMenst_Age","Enterobacter.sp..CRENT.193.PTR",0,0
"PostMenst_Age","Enterobacteriaceae.bacterium.S05.abundance",0,0
"PostMenst_Age","Enterobacteriaceae.bacterium.S05.PTR",0,0
"PostMenst_Age","Citrobacter.abundance",0,0
"PostMenst_Age","Citrobacter.PTR",0,0
"PostMenst_Age","ARO.3000319mphC",0,0
"PostMenst_Age","ARO.3003551emeA",0,0
"PostMenst_Age","ARO.3003046qacA",0.025,0.125
"PostMenst_Age","ARO.3001057TEM.198",0,0
"PostMenst_Age","ARO.3004588Klebsiella",0,0
"PostMenst_Age","ARO.3000804MexF",0,0
"PostMenst_Age","ARO.3002985arnA",0.025,0.125
"PostMenst_Age","ARO.3004075MuxC",0.0666666666666667,0.333333333333333
"PostMenst_Age","ARO.3004074MuxB",0,0
"PostMenst_Age","ARO.3002865dfrC",0,0
"PostMenst_Age","ARO.3002660APH.6..Id",0,0
"PostMenst_Age","ARO.3003052smeB",0,0
"PostMenst_Age","ARO.3000936TEM.70",0,0
"PostMenst_Age","ARO.3000616mel",0.0166666666666667,0.0833333333333333
"PostMenst_Age","ARO.3000375ErmB",0,0
"PostMenst_Age","ARO.3002639APH.3....Ib",0,0
"PostMenst_Age","ARO.3002819msrC",0,0
"PostMenst_Age","ARO.3000967TEM.104",0,0
"PostMenst_Age","ARO.3003047qacB",0,0
"PostMenst_Age","ARO.3002875dfrE",0.0166666666666667,0.0833333333333333
"PostMenst_Age","ARO.3004122Klebsiella",0,0
"PostMenst_Age","ARO.3000194tetW",0,0
"PostMenst_Age","ARO.3003056smeE",0,0
"PostMenst_Age","ARO.3004041Klebsiella",0,0
"PostMenst_Age","ARO.3000900TEM.30",0,0
"PostMenst_Age","ARO.3000999TEM.135",0,0
"PostMenst_Age","ARO.3000873TEM.1",0,0
"PostMenst_Age","ARO.3001015TEM.148",0,0
"PostMenst_Age","ARO.3000186tetM",0,0
"PostMenst_Age","ARO.3000501Nocardia",0,0
"PostMenst_Age","ARO.3004580Klebsiella",0,0
"PostMenst_Age","ARO.3004583Klebsiella",0,0
"PostMenst_Age","ARO.3000263marA",0,0
"PostMenst_Age","ARO.3000828baeR",0,0
"PostMenst_Age","ARO.3000491acrD",0,0
"PostMenst_Age","ARO.3000508gadX",0,0
"PostMenst_Age","ARO.3000795mdtE",0,0
"PostMenst_Age","ARO.3000518CRP",0,0
"PostMenst_Age","ARO.3003550mdtP",0,0
"PostMenst_Age","ARO.3003549mdtO",0,0
"PostMenst_Age","ARO.3003548mdtN",0,0
"PostMenst_Age","ARO.3000829baeS",0,0
"PostMenst_Age","ARO.3000027emrA",0,0
"PostMenst_Age","ARO.3003576eptA",0,0
"PostMenst_Age","ARO.3004612Escherichia",0,0
"PostMenst_Age","ARO.3004597Klebsiella",0,0
"PostMenst_Age","ARO.3000412sul2",0,0
"PostMenst_Age","ARO.3000300lsaA",0,0
"PostMenst_Age","ARO.3000984TEM.122",0,0
"PostMenst_Age","ARO.3000990TEM.128",0,0
"PostMenst_Age","ARO.3000391norA",0.075,0.375
"PostMenst_Age","ARO.3000988TEM.126",0,0
"PostMenst_Age","ARO.3000026mepA",0,0
"PostMenst_Age","ARO.3002628aad.6.",0,0
"PostMenst_Age","ARO.3000565tet.38.",0,0
"PostMenst_Age","ARO.3001004TEM.141",0,0
"PostMenst_Age","ARO.3000832evgA",0,0
"PostMenst_Age","ARO.3000676H.NS",0,0
"PostMenst_Age","ARO.3000830cpxA",0,0
"PostMenst_Age","ARO.3000815mgrA",0,0
"PostMenst_Age","ARO.3002641APH.3...Ia",0,0
"PostMenst_Age","ARO.3004572Staphylococcys",0.00833333333333333,0.0416666666666667
"PostMenst_Age","ARO.3003773Clostridium",0,0
"PostMenst_Age","ARO.3000215mecR1",0.00833333333333333,0.0416666666666667
"PostMenst_Age","ARO.3000621PC1",0.00833333333333333,0.0416666666666667
"PostMenst_Age","ARO.3001329mdtG",0,0
"PostMenst_Age","ARO.3003730Bifidobacteria",0,0
"PostMenst_Age","ARO.3002647APH.3...IIIa",0,0
"PostMenst_Age","ARO.3001327mdtK",0.00833333333333333,0.0416666666666667
"PostMenst_Age","ARO.3003838gadW",0,0
"PostMenst_Age","ARO.3000254emrY",0,0
"PostMenst_Age","ARO.3000206emrK",0,0
"PostMenst_Age","ARO.3004667Staphylococcus",0,0
"PostMenst_Age","ARO.3000924TEM.55",0,0
"PostMenst_Age","ARO.3004042Enterobacter",0,0
"PostMenst_Age","ARO.3002830vgaALC",0,0
"PostMenst_Age","ARO.3001030TEM.164",0,0
"PostMenst_Age","ARO.3003922oqxA",0.0333333333333333,0.125
"PostMenst_Age","ARO.3003923oqxB",0.00833333333333333,0.0416666666666667
"PostMenst_Age","ARO.3002804FosA2",0,0
"PostMenst_Age","ARO.3001029TEM.163",0,0
"PostMenst_Age","ARO.3001032TEM.166",0,0
"PostMenst_Age","ARO.3000237tolC",0,0
"PostMenst_Age","ARO.3004611Escherichia",0.00833333333333333,0.0416666666666667
"PostMenst_Age","ARO.3003905ANT.4...Ib",0,0
"PostMenst_Age","ARO.3000903TEM.33",0,0
"PostMenst_Age","ARO.3001041TEM.176",0,0
"PostMenst_Age","ARO.3002597AAC.6...Ie.APH.2....Ia",0.0166666666666667,0.0833333333333333
"PostMenst_Age","ARO.3001394TEM.217",0,0
"PostMenst_Age","ARO.3003949efrB",0,0
"PostMenst_Age","ARO.3000410sul1",0.0416666666666667,0.208333333333333
"PostMenst_Age","ARO.3001046TEM.186",0,0
"PostMenst_Age","ARO.3001328Escherichia",0,0
"PostMenst_Age","ARO.3000823ramA",0.00833333333333333,0.0416666666666667
"PostMenst_Age","ARO.3001378TEM.201",0,0
"PostMenst_Age","ARO.3001837ACT.15",0,0
"PostMenst_Age","ARO.3000617mecA",0.075,0.333333333333333
"PostMenst_Age","ARO.3000904TEM.34",0,0
"PostMenst_Age","ARO.3001383TEM.206",0,0
"PostMenst_Age","ARO.3001384TEM.207",0,0
"PostMenst_Age","ARO.3001385TEM.208",0,0
"PostMenst_Age","ARO.3001386TEM.209",0,0
"PostMenst_Age","ARO.3001393TEM.216",0,0
"PostMenst_Age","ARO.3001838ACT.17",0,0
"PostMenst_Age","ARO.3001839ACT.18",0,0
"PostMenst_Age","ARO.3001847ACT.27",0,0
"PostMenst_Age","ARO.3001852ACT.32",0,0
"PostMenst_Age","ARO.3003158TEM.220",0,0
"PostMenst_Age","ARO.3001391TEM.214",0,0
"PostMenst_Age","ARO.3003209FosA5",0,0
"PostMenst_Age","ARO.3004111FosA6",0,0
"PostMenst_Age","ARO.3004442tet.W.N.W.",0,0
"PostMenst_Age","ARO.3000378MexB",0.025,0.125
"PostMenst_Age","ARO.3000180tetA.P.",0,0
"PostMenst_Age","ARO.3000195tetB.P.",0,0
"PostMenst_Age","ARO.3001855ACT.35",0,0
"PostMenst_Age","ARO.3000250ErmC",0,0
"PostMenst_Age","ARO.3000190tetO",0,0
"PostMenst_Age","ARO.3000596ErmX",0,0
"PostMenst_Age","ARO.3002829vgaA",0,0
"PostMenst_Age","ARO.3004290Escherichia",0,0
"PostMenst_Age","ARO.3004480Bifidobacterium",0,0
"PostMenst_Age","ARO.3003948efrA",0,0
"PostMenst_Age","ARO.3000516emrR",0.025,0.125
"PostMenst_Age","ARO.3003950msbA",0,0
"PostMenst_Age","ARO.3003952yojI",0,0
"PostMenst_Age","ARO.3002986bacA",0,0
"PostMenst_Age","ARO.3004290Escherichia.1",0,0
"PostMenst_Age","ARO.3001214mdtM",0.0416666666666667,0.208333333333333
"PostMenst_Age","ARO.3000216acrB",0,0
"PostMenst_Age","ARO.3004043Escherichia",0,0
"PostMenst_Age","ARO.3003841kdpE",0,0
"PostMenst_Age","ARO.3000792mdtA",0,0
"PostMenst_Age","ARO.3000793mdtB",0,0
"PostMenst_Age","ARO.3000794mdtC",0,0
"PostMenst_Age","ARO.3003578pmrF",0,0
"PostMenst_Age","ARO.3000833evgS",0,0
"PostMenst_Age","ARO.3000074emrB",0.00833333333333333,0.0416666666666667
"PostMenst_Age","ARO.3000499acrE",0,0
"PostMenst_Age","ARO.3000502acrF",0,0
"PostMenst_Age","ARO.3000796mdtF",0,0
"PostMenst_Age","ARO.3001216mdtH",0,0
"PostMenst_Age","ARO.3003577ugd",0.00833333333333333,0.0416666666666667
"PostMenst_Age","ARO.3000656acrS",0,0
"PostMenst_Age","ARO.3002897SAT.4",0,0
"PostMenst_Age","ARO.3000347ErmA",0.0166666666666667,0.0833333333333333
"PostMenst_Age","ARO.3000251msrA",0.116666666666667,0.458333333333333
"PostMenst_Age","ARO.3000521mupA",0.025,0.125
"PostMenst_Age","ARO.3004039Escherichia",0,0
"PostMenst_Age","ARO.3000191tetQ",0,0
"Gestational_Age","Day_of_Life",0,0
"Gestational_Age","PostMenst_Age",0,0
"Gestational_Age","Birthweight",0,0
"Gestational_Age","Gentamicin",0,0
"Gestational_Age","Cefazolin",0,0
"Gestational_Age","Ampicillin",0,0
"Gestational_Age","Meropenem",0,0
"Gestational_Age","Vancomycin",0,0
"Gestational_Age","Ticarcillin.Clavulanate",0,0
"Gestational_Age","Total_abx",0,0
"Gestational_Age","r_Gentamicin",0,0
"Gestational_Age","r_Meropenem",0,0
"Gestational_Age","r_Ticarcillin.Clavulanate",0,0
"Gestational_Age","r_Vancomycin",0,0
"Gestational_Age","r_Ampicillin",0,0
"Gestational_Age","r_Cefotaxime",0,0
"Gestational_Age","r_TOTAL",0,0
"Gestational_Age","Human_Milk",0,0
"Gestational_Age","Maternal_Milk",0,0
"Gestational_Age","Donor_Milk",0,0
"Gestational_Age","Formula",0,0
"Gestational_Age","Fortification",0,0
"Gestational_Age","Vitamin_A",0,0
"Gestational_Age","Caffeine",0,0
"Gestational_Age","Iron",0,0
"Gestational_Age","Furosemide_Lasix",0,0
"Gestational_Age","m_ampicillin",0,0
"Gestational_Age","m_ceftriaxone",0,0
"Gestational_Age","m_azithromycin",0,0
"Gestational_Age","m_amoxicillin",0,0
"Gestational_Age","m_cefazolin",0,0
"Gestational_Age","m_erythromycin",0,0
"Gestational_Age","m_gentamicin",0,0
"Gestational_Age","m_penicillin",0,0
"Gestational_Age","m_vancomycin",0,0
"Gestational_Age","m_clindamycin",0,0
"Gestational_Age","m_cefotaxime",0,0
