"from","to"
"Clostridium.perfringens.PTR","ARO.3000410sul1"
"Klebsiella.oxytoca.abundance","Klebsiella.michiganensis.abundance"
"Klebsiella.oxytoca.abundance","Klebsiella.sp..M5al.abundance"
"Klebsiella.oxytoca.PTR","ARO.3002641APH.3...Ia"
"Klebsiella.oxytoca.PTR","ARO.3001327mdtK"
"Bacteroides.fragilis.abundance","ARO.3000191tetQ"
"Bacteroides.fragilis.PTR","Bacteroides.fragilis.abundance"
"Bacteroides.fragilis.PTR","ARO.3000191tetQ"
"Enterobacter.hormaechei.PTR","ARO.3000616mel"
"Enterobacter.sp..HK169.abundance","Enterobacter.roggenkampii.abundance"
"Enterobacter.sp..HK169.PTR","Enterobacter.sp..HK169.abundance"
"Enterobacter.asburiae.abundance","Enterobacter.roggenkampii.abundance"
"Enterobacter.asburiae.abundance","Enterobacter.sp..HK169.abundance"
"Enterobacter.asburiae.PTR","ARO.3000410sul1"
"Klebsiella.sp..M5al.abundance","Klebsiella.michiganensis.abundance"
"Veillonella.parvula.PTR","Veillonella.parvula.abundance"
"Enterobacter.sp..DKU_NT_01.PTR","Enterobacter.sp..DKU_NT_01.abundance"
"Enterobacter.sp..DKU_NT_01.PTR","ARO.3000410sul1"
"Enterobacter.sp..DKU_NT_01.PTR","ARO.3001839ACT.18"
"Enterobacter.sp..CRENT.193.PTR","ARO.3001839ACT.18"
"Enterobacteriaceae.bacterium.S05.PTR","Enterobacteriaceae.bacterium.S05.abundance"
"Citrobacter.PTR","Citrobacter.abundance"
"ARO.3002865dfrC","Staphylococcus.epidermidis.PTR"
"ARO.3000375ErmB","Klebsiella.aerogenes.abundance"
"ARO.3002639APH.3....Ib","Veillonella.parvula.PTR"
"ARO.3002819msrC","Enterococcus.faecium.abundance"
"ARO.3002875dfrE","Enterococcus.faecalis.abundance"
"ARO.3000194tetW","Bacteroides.fragilis.abundance"
"ARO.3004041Klebsiella","Klebsiella.aerogenes.PTR"
"ARO.3004580Klebsiella","Klebsiella.pneumoniae.abundance"
"ARO.3004580Klebsiella","Klebsiella.quasipneumoniae.PTR"
"ARO.3004583Klebsiella","Klebsiella.pneumoniae.PTR"
"ARO.3004583Klebsiella","Klebsiella.quasipneumoniae.PTR"
"ARO.3003548mdtN","Escherichia.coli.PTR"
"ARO.3000829baeS","Escherichia.coli.PTR"
"ARO.3000412sul2","Escherichia.coli.abundance"
"ARO.3000300lsaA","Enterococcus.faecalis.PTR"
"ARO.3000676H.NS","Enterococcus.faecalis.abundance"
"ARO.3000830cpxA","Klebsiella.michiganensis.PTR"
"ARO.3004572Staphylococcys","Clostridium.perfringens.abundance"
"ARO.3003773Clostridium","Clostridium.perfringens.abundance"
"ARO.3003773Clostridium","Clostridium.perfringens.PTR"
"ARO.3001327mdtK","Enterobacter.roggenkampii.abundance"
"ARO.3004042Enterobacter","Enterobacter.cloacae.abundance"
"ARO.3004042Enterobacter","Enterobacter.cloacae.PTR"
"ARO.3003922oqxA","Klebsiella.pneumoniae.PTR"
"ARO.3002804FosA2","Enterobacter.cloacae.abundance"
"ARO.3002804FosA2","Enterobacter.cloacae.PTR"
"ARO.3002804FosA2","Enterobacter.sp..DKU_NT_01.PTR"
"ARO.3004611Escherichia","Enterobacter.asburiae.PTR"
"ARO.3003949efrB","Enterococcus.faecalis.PTR"
"ARO.3001837ACT.15","Enterobacter.sp..CRENT.193.abundance"
"ARO.3000617mecA","Staphylococcus.epidermidis.PTR"
"ARO.3001838ACT.17","Enterobacter.sp..DKU_NT_01.abundance"
"ARO.3001838ACT.17","Enterobacter.sp..DKU_NT_01.PTR"
"ARO.3003209FosA5","Klebsiella.aerogenes.abundance"
"ARO.3003209FosA5","Klebsiella.aerogenes.PTR"
"ARO.3003209FosA5","Klebsiella.pneumoniae.PTR"
"ARO.3004111FosA6","Klebsiella.pneumoniae.abundance"
"ARO.3000180tetA.P.","Klebsiella.quasipneumoniae.PTR"
"ARO.3000180tetA.P.","Clostridium.perfringens.abundance"
"ARO.3000180tetA.P.","Enterobacter.asburiae.PTR"
"ARO.3000195tetB.P.","Klebsiella.aerogenes.abundance"
"ARO.3000195tetB.P.","Clostridium.perfringens.PTR"
"ARO.3000596ErmX","Enterobacter.roggenkampii.abundance"
"ARO.3002986bacA","Klebsiella.pneumoniae.abundance"
"ARO.3000216acrB","Staphylococcus.epidermidis.PTR"
"ARO.3004039Escherichia","Escherichia.coli.abundance"
